,assists,attack_type,backpack_0,backpack_1,backpack_2,barracks_status_dire,barracks_status_radiant,carry,cluster,cluster_name,deaths,denies,dire_score,disabler,durable,duration,engine,first_blood_time,flags,game_mode,game_mode_name,gold,gold_per_min,gold_spent,hero_damage,hero_healing,hero_id,hero_name,human_players,id,initiator,item_0,item_0_name,item_1,item_1_name,item_2,item_2_name,item_3,item_3_name,item_4,item_4_name,item_5,item_5_name,jungler,kills,last_hits,leagueid,leaver_status,leaver_status_description,leaver_status_name,legs,level,lobby_name,lobby_type,localized_name,match_id,match_seq_num,negative_votes,nuker,player_slot,positive_votes,pre_game_duration,primary_attr,pusher,radiant_score,radiant_win,scaled_hero_damage,scaled_hero_healing,scaled_tower_damage,start_time,support,tower_damage,tower_status_dire,tower_status_radiant,xp_per_min
0,15.0,,0.0,218.0,0.0,0.0,63.0,,153.0,Southeast Asia,6.0,0.0,37.0,,,2359.0,1.0,11.0,1.0,22.0,Ranked All Pick,570.0,344.0,12415.0,12590.0,0.0,9.0,Mirana,10.0,,,210.0,Heaven's Halberd,127.0,Blade Mail,178.0,Soul Ring,63.0,Power Treads,73.0,Bracer,73.0,Bracer,,9.0,71.0,0.0,0.0,"finished match, no abandon",NONE,,21.0,Ranked,7.0,,4023532365.0,3491561396.0,0.0,,129.0,0.0,90.0,,,45.0,True,8262.0,0.0,18.0,1532516762.0,,32.0,0.0,2023.0,489.0
1,22.0,,46.0,77.0,0.0,3.0,63.0,,152.0,Southeast Asia,11.0,1.0,53.0,,,3256.0,1.0,73.0,1.0,22.0,Ranked All Pick,1087.0,265.0,11155.0,11911.0,0.0,3.0,Bane,10.0,,,188.0,Smoke of Deceit,232.0,Aether Lens,254.0,Glimmer Cape,29.0,Boots of Speed,37.0,Ghost Scepter,218.0,Observer and Sentry Wards,,4.0,25.0,0.0,0.0,"finished match, no abandon",NONE,,25.0,Ranked,7.0,,4023017790.0,3491110745.0,0.0,,131.0,0.0,90.0,,,52.0,True,10030.0,0.0,180.0,1532487486.0,,277.0,4.0,1540.0,586.0
2,9.0,,0.0,0.0,0.0,63.0,3.0,,151.0,Southeast Asia,7.0,10.0,49.0,,,2338.0,1.0,159.0,1.0,22.0,Ranked All Pick,2290.0,507.0,15050.0,11898.0,7745.0,8.0,Juggernaut,10.0,,,1.0,Blink Dagger,174.0,Diffusal Blade,147.0,Manta Style,50.0,Phase Boots,40.0,Dust of Appearance,125.0,Vanguard,,6.0,219.0,0.0,0.0,"finished match, no abandon",NONE,,25.0,Ranked,7.0,,4021568957.0,3489850437.0,0.0,,132.0,0.0,90.0,,,42.0,False,7974.0,2510.0,3278.0,1532411970.0,,5826.0,1830.0,4.0,708.0
3,9.0,,0.0,0.0,0.0,0.0,63.0,,156.0,Southeast Asia,0.0,20.0,7.0,,,1713.0,1.0,147.0,1.0,22.0,Ranked All Pick,3697.0,515.0,11625.0,15452.0,0.0,63.0,Weaver,10.0,,,212.0,Ring of Aquila,123.0,Linken's Sphere,0.0,,0.0,,194.0,Necronomicon,46.0,Town Portal Scroll,,8.0,126.0,0.0,0.0,"finished match, no abandon",NONE,,18.0,Ranked,7.0,,4021521232.0,3489799342.0,0.0,,1.0,0.0,90.0,,,31.0,True,15354.0,0.0,3906.0,1532408812.0,,6091.0,0.0,2047.0,499.0
4,15.0,,0.0,0.0,0.0,63.0,0.0,,153.0,Southeast Asia,9.0,16.0,47.0,,,2388.0,1.0,132.0,1.0,22.0,Ranked All Pick,636.0,510.0,17305.0,21194.0,5848.0,8.0,Juggernaut,10.0,,,0.0,,46.0,Town Portal Scroll,145.0,Battle Fury,50.0,Phase Boots,160.0,Eye of Skadi,154.0,Sange and Yasha,,9.0,261.0,0.0,0.0,"finished match, no abandon",NONE,,24.0,Ranked,7.0,,4021476880.0,3489768277.0,0.0,,4.0,0.0,90.0,,,46.0,False,14667.0,2450.0,1307.0,1532405681.0,,2141.0,1796.0,0.0,663.0
5,14.0,,34.0,0.0,0.0,63.0,0.0,,151.0,Southeast Asia,4.0,3.0,47.0,,,2088.0,1.0,133.0,1.0,22.0,Ranked All Pick,1175.0,475.0,15165.0,20750.0,0.0,63.0,Weaver,10.0,,,168.0,Desolator,108.0,Aghanim's Scepter,123.0,Linken's Sphere,212.0,Ring of Aquila,29.0,Boots of Speed,46.0,Town Portal Scroll,,13.0,123.0,0.0,0.0,"finished match, no abandon",NONE,,23.0,Ranked,7.0,,4021442528.0,3489732798.0,0.0,,129.0,0.0,90.0,,,33.0,False,19156.0,0.0,2350.0,1532403113.0,,4206.0,2047.0,0.0,684.0
6,6.0,,0.0,0.0,0.0,63.0,0.0,,153.0,Southeast Asia,10.0,0.0,36.0,,,1903.0,1.0,275.0,1.0,22.0,Ranked All Pick,217.0,226.0,6310.0,12433.0,2220.0,36.0,Necrophos,10.0,,,29.0,Boots of Speed,36.0,Magic Wand,102.0,Force Staff,0.0,,216.0,Enchanted Mango,77.0,Null Talisman,,4.0,25.0,0.0,0.0,"finished match, no abandon",NONE,,15.0,Ranked,7.0,,4021410866.0,3489702554.0,0.0,,2.0,0.0,90.0,,,22.0,False,9424.0,1710.0,0.0,1532400694.0,,0.0,1974.0,0.0,357.0
7,15.0,,0.0,0.0,0.0,63.0,3.0,,156.0,Southeast Asia,13.0,0.0,52.0,,,2672.0,1.0,243.0,1.0,22.0,Ranked All Pick,1049.0,285.0,9100.0,17562.0,0.0,79.0,Shadow Demon,10.0,,,1.0,Blink Dagger,102.0,Force Staff,178.0,Soul Ring,180.0,Arcane Boots,0.0,,46.0,Town Portal Scroll,,5.0,105.0,0.0,0.0,"finished match, no abandon",NONE,,21.0,Ranked,7.0,,4020682029.0,3489071286.0,0.0,,0.0,0.0,90.0,,,40.0,False,11000.0,0.0,77.0,1532357058.0,,130.0,1958.0,0.0,437.0
8,10.0,,75.0,0.0,0.0,63.0,3.0,,153.0,Southeast Asia,9.0,10.0,63.0,,,2774.0,1.0,182.0,1.0,22.0,Ranked All Pick,305.0,531.0,23250.0,24844.0,0.0,6.0,Drow Ranger,10.0,,,116.0,Black King Bar,263.0,Hurricane Pike,152.0,Shadow Blade,63.0,Power Treads,176.0,Ethereal Blade,54.0,Sacred Relic,,14.0,262.0,0.0,0.0,"finished match, no abandon",NONE,,25.0,Ranked,7.0,,4020503029.0,3488916081.0,0.0,,4.0,0.0,90.0,,,48.0,False,17001.0,0.0,803.0,1532350988.0,,1348.0,1974.0,4.0,669.0
9,11.0,,46.0,0.0,0.0,3.0,63.0,,152.0,Southeast Asia,2.0,0.0,12.0,,,1519.0,1.0,65.0,1.0,22.0,Ranked All Pick,1216.0,287.0,6480.0,6926.0,0.0,75.0,Silencer,10.0,,,0.0,,254.0,Glimmer Cape,23.0,Staff of Wizardry,29.0,Boots of Speed,38.0,Clarity,77.0,Null Talisman,,3.0,17.0,0.0,0.0,"finished match, no abandon",NONE,,15.0,Ranked,7.0,,4020424950.0,3488816456.0,0.0,,2.0,0.0,90.0,,,35.0,True,7224.0,0.0,1264.0,1532348214.0,,2030.0,6.0,2047.0,403.0
8,,Ranged,,,,,,1.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,Mirana,,,,1.0,,,,agi,0.0,,,,,,,1.0,,,,
